year,state,source,generation
1992,VA,Nuclear,23334340
1992,VA,Petroleum,1852865
1992,VA,Solar,11
1992,VT,Total,4870142
1992,VT,Hydro,921498
1992,VT,Natural Gas,63120
1992,VT,Nuclear,3734594
1992,VT,Petroleum,2688
1992,VT,Wind,0
1992,WA,Total,86482429
1992,WA,Coal,9658148
1992,WA,Hydro,68324659
1992,WA,Natural Gas,1273763
1992,WA,Nuclear,5692379
1992,WA,Petroleum,25745
1992,WI,Total,48893401
1992,WI,Coal,33833943
1992,WI,Hydro,2401605
1992,WI,Natural Gas,379591
1992,WI,Nuclear,11207185
1992,WI,Petroleum,155249
1992,WI,Wind,0
1992,WV,Total,75159914
1992,WV,Coal,73352552
1992,WV,Hydro,1271063
1992,WV,Natural Gas,120856
1992,WV,Petroleum,241211
1992,WY,Total,42473894
1992,WY,Coal,41380784
1992,WY,Hydro,635640
1992,WY,Natural Gas,341257
1992,WY,Petroleum,58483
1993,AK,Total,5721277
1993,AK,Coal,533123
1993,AK,Hydro,1302992
1993,AK,Natural Gas,3191814
1993,AK,Petroleum,587422
1993,AK,Wind,0
1993,AL,Total,99336996
1993,AL,Coal,67336321
1993,AL,Hydro,9034210
1993,AL,Natural Gas,1260978
1993,AL,Nuclear,17823325
1993,AL,Petroleum,192944
1993,AR,Total,40498654
1993,AR,Coal,18091528
1993,AR,Hydro,4509292
1993,AR,Natural Gas,2703261
1993,AR,Nuclear,13521676
1993,AR,Petroleum,73127
1993,AZ,Total,68468986
1993,AZ,Coal,37272195
1993,AZ,Hydro,6697088
1993,AZ,Natural Gas,1936549
1993,AZ,Nuclear,22048880
1993,AZ,Petroleum,85442
1993,CA,Total,186990642
1993,CA,Coal,3129951
1993,CA,Hydro,40492526
1993,CA,Natural Gas,79644169
1993,CA,Nuclear,31580692
1993,CA,Petroleum,3601682
1993,CA,Solar,462078
1993,CA,Wind,2983640
1993,CO,Total,34240183
1993,CO,Coal,30701319
1993,CO,Hydro,1911842
1993,CO,Natural Gas,1510863
1993,CO,Petroleum,8966
1993,CT,Total,32884571
1993,CT,Coal,3508317
1993,CT,Hydro,414685
1993,CT,Natural Gas,1383916
1993,CT,Nuclear,21801782
1993,CT,Petroleum,4384501
1993,DE,Total,9017680
1993,DE,Coal,5374615
1993,DE,Natural Gas,1029190
1993,DE,Petroleum,2504620
1993,FL,Total,151934156
1993,FL,Coal,63138674
1993,FL,Hydro,210776
1993,FL,Natural Gas,20754801
1993,FL,Nuclear,25886864
1993,FL,Petroleum,34727092
1993,GA,Total,101447571
1993,GA,Coal,64252566
1993,GA,Hydro,4456651
1993,GA,Natural Gas,696214
1993,GA,Nuclear,27233352
1993,GA,Petroleum,1137913
1993,HI,Total,9943687
1993,HI,Coal,1479074
1993,HI,Hydro,56243
1993,HI,Petroleum,7393981
1993,HI,Wind,21944
1993,IA,Total,32049013
1993,IA,Coal,27531644
1993,IA,Hydro,747182
1993,IA,Natural Gas,448989
1993,IA,Nuclear,3235009
1993,IA,Petroleum,56925
1993,IA,Wind,0
